t=2026-07-14T08:05:44-0400 lvl=info msg="no configuration paths supplied"
t=2026-07-14T08:05:44-0400 lvl=info msg="using configuration at default config path" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-14T08:05:44-0400 lvl=info msg="open config file" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-14T08:05:44-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-14T08:05:44-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-14T08:05:44-0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-14T08:05:44-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-14T08:05:45-0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://unseen-thesaurus-clad.ngrok-free.dev
t=2026-07-14T08:08:47-0400 lvl=info msg="join connections" obj=join id=ad4cd3b0e49c l=[::1]:3000 r=181.36.78.109:56087
t=2026-07-14T08:09:34-0400 lvl=info msg="join connections" obj=join id=aece664f6887 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=72e346e96db5 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=99689c5e3e53 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=39f4389c24fc l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=4fd5e636d67c l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=dd76255692e3 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=77fdc366487a l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=6ed7d58a7ba2 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=b735368df29a l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=eb83bb939d77 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=a0be5abaf48d l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=788e8ef30608 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=fe88c6f2eb27 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=2eb799a7fa5d l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=9f10078d6e10 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=1475418df5ff l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=f472fafc9134 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=ffa991723c47 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:09:35-0400 lvl=info msg="join connections" obj=join id=9ab3c29bb09f l=[::1]:3000 r=181.36.78.109:63582
t=2026-07-14T08:09:36-0400 lvl=info msg="join connections" obj=join id=3572c740d08d l=[::1]:3000 r=181.36.78.109:52491
t=2026-07-14T08:09:36-0400 lvl=info msg="join connections" obj=join id=4177c034638a l=[::1]:3000 r=181.36.78.109:23016
t=2026-07-14T08:09:38-0400 lvl=info msg="join connections" obj=join id=a39598c695ad l=[::1]:3000 r=181.36.78.109:14665
t=2026-07-14T08:09:39-0400 lvl=info msg="join connections" obj=join id=3a2dd39e9f9a l=[::1]:3000 r=181.36.78.109:3620
t=2026-07-14T08:09:40-0400 lvl=info msg="join connections" obj=join id=9e94ff2cb7ba l=[::1]:3000 r=181.36.78.109:36946
t=2026-07-14T08:09:42-0400 lvl=info msg="join connections" obj=join id=148073165fd1 l=[::1]:3000 r=181.36.78.109:2358
t=2026-07-14T08:09:43-0400 lvl=info msg="join connections" obj=join id=022470b61b1e l=[::1]:3000 r=181.36.78.109:49348
t=2026-07-14T08:09:48-0400 lvl=info msg="join connections" obj=join id=bbfd96cb59ef l=[::1]:3000 r=181.36.78.109:41009
t=2026-07-14T08:09:54-0400 lvl=info msg="join connections" obj=join id=75542133a296 l=[::1]:3000 r=181.36.78.109:3088
t=2026-07-14T08:09:59-0400 lvl=info msg="join connections" obj=join id=b135f004d1f0 l=[::1]:3000 r=181.36.78.109:47415
t=2026-07-14T08:10:05-0400 lvl=info msg="join connections" obj=join id=6dcd5e5f4f91 l=[::1]:3000 r=181.36.78.109:9307
t=2026-07-14T08:10:10-0400 lvl=info msg="join connections" obj=join id=fcf8b50da9ab l=[::1]:3000 r=181.36.78.109:13854
t=2026-07-14T08:10:16-0400 lvl=info msg="join connections" obj=join id=d41230a197b1 l=[::1]:3000 r=181.36.78.109:63281
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=73a0761254fc l=[::1]:3000 r=181.36.78.109:40122
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=7d9a95bd9ad2 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=5f83dd1bf987 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=1569d579efe6 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=7cec725400d2 l=[::1]:3000 r=181.36.78.109:57019
